country_coordinates,Country,Total Deaths,Total Affected,Total Damages ('000 US$),Lat,Lng
88,Iceland,51.0,5768.0,70989.0,64.9841821,-18.1059013
89,India,204891.0,2358458428.0,141974456.0,22.3511148,78.6677428
90,Indonesia,204694.0,35520080.0,34059707.0,-2.4833826,117.8902853
91,Iran (Islamic Republic of),111238.0,56874189.0,29793696.0,32.6475314,54.5643516
92,Iraq,212.0,7185386.0,101300.0,33.0955793,44.1749775
93,Ireland,47.0,6275.0,678050.0,52.865196,-7.9794599
94,Isle of Man,0.0,0.0,0.0,54.1936805,-4.5591148
95,Israel,124.0,2085182.0,2082750.0,30.8124247,34.8594762
96,Italy,27693.0,2327869.0,95697263.0,42.6384261,12.674297
97,Jamaica,277.0,2585222.0,2768097.0,18.1850507,-77.3947693
98,Japan,32331.0,9483336.0,529849600.0,36.5748441,139.2394179
99,Jordan,88.0,349045.0,401000.0,44.6663146,-93.6261918
100,Kazakhstan,237.0,906058.0,285570.0,48.1012954,66.7780818
101,Kenya,7408.0,69455183.0,619838.0,1.4419683,38.4313975
102,Kiribati,20.0,86857.0,0.0,0.3448612,173.6641773
103,Korea (the Democratic People's Republic of),3017.0,50960163.0,23767950.0,40.3736611,127.0870417
104,Korea (the Republic of),4994.0,3165535.0,18451457.0,40.3736611,127.0870417
105,Kuwait,3.0,201.0,0.0,29.2733964,47.4979476
106,Kyrgyzstan,477.0,2275962.0,217760.0,41.5089324,74.724091
107,Lao People's Democratic Republic (the),1304.0,11577648.0,786029.0,20.0171109,103.378253
108,Latvia,92.0,102.0,325500.0,56.8406494,24.7537645
109,Lebanon,69.0,1135791.0,165000.0,40.3429683,-76.4233816
110,Lesotho,123.0,4641112.0,0.0,-29.6039267,28.3350193
111,Liberia,5494.0,1593894.0,47000.0,5.7499721,-9.3658524
112,Libya,20.0,22030.0,49300.0,26.8234472,18.1236723
113,Lithuania,104.0,780000.0,313573.0,55.3500003,23.7499997
114,Luxembourg,170.0,1519.0,421000.0,49.8158683,6.1296751
115,Macao,10.0,4187.0,1420000.0,22.1757605,113.5514142
116,Macedonia (the former Yugoslav Republic of),69.0,1361548.0,409163.0,-18.754701,-41.429087
117,Madagascar,5045.0,20267592.0,2338701.0,-18.9249604,46.4416422
118,Malawi,3172.0,32267380.0,449789.0,-13.2687204,33.9301963
119,Malaysia,1396.0,3567992.0,2329302.0,4.5693754,102.2656823
120,Maldives,325.0,68679.0,506100.0,3.7203503,73.2244152
121,Mali,3569.0,14060131.0,0.0,16.3700359,-2.2900239
