,Total Deaths,Total Deaths,Total Affected,Total Affected,Total Damages ('000 US$),Total Damages ('000 US$)
,mean,median,mean,median,mean,median
total_affected,,,,,,
Africa,478.87577639751555,20.0,249568.65251442703,5141.0,125483.90847457627,13561.0
Americas,232.77447552447552,11.0,173262.80015860428,4417.5,1152306.2938181818,115000.0
Asia,439.28788536691275,24.0,1490445.619590958,13909.0,759251.4685185185,53100.0
Europe,186.89537037037036,6.0,43509.06504065041,1000.0,563640.9680998613,110000.0
Oceania,24.399317406143346,5.0,56829.684665226785,2000.0,319810.1446945338,39427.0
